ID: 1; Nome: God of War; Genero: Acao; Plataforma: PC; Ano: 2010; Desenvolvedor: Sony
ID: 2; Nome: The Last of Us; Genero: Acao; Plataforma: PC, Console; Ano: 2022; Desenvolvedor: Sony
ID: 3; Nome: God of War II; Genero: Acao; Plataforma: PC; Ano: 2011; Desenvolvedor: Sony
ID: 4; Nome: Red Dead Redemption 2; Genero: Ação, Aventura; Plataforma: Console, PC; Ano: 2018; Desenvolvedor: Rockstar Games
ID: 5; Nome: The Witcher 3; Genero: RPG; Plataforma: PC, Console; Ano: 2015; Desenvolvedor: CD Projekt Red
ID: 6; Nome: Minecraft; Genero: Sandbox; Plataforma: PC, Console, Mobile; Ano: 2011; Desenvolvedor: Mojang
ID: 7; Nome: Halo Infinite; Genero: FPS; Plataforma: Console, PC; Ano: 2021; Desenvolvedor: 343 Industries
ID: 8; Nome: Cyberpunk 2077; Genero: RPG, Ação; Plataforma: PC, Console; Ano: 2020; Desenvolvedor: CD Projekt Red
ID: 9; Nome: Dark Souls III; Genero: Acao, RPG; Plataforma: PC, Console; Ano: 2016; Desenvolvedor: FromSoftware
ID: 10; Nome: Horizon Zero Dawn; Genero: Acao, Aventura; Plataforma: PC, Console; Ano: 2017; Desenvolvedor: Guerrilla Games
ID: 21; Nome: Risk of Rain 2; Genero: RogueLike; Plataforma: Todas; Ano: 2020; Desenvolvedor: Hopoo Games
